All 128 accesspoints
                                 0 F             1 F             2 F             3 F
   00:24:6c:5e:c8:43           -85.6           -87.5           -81.0          -81.97
   00:24:6c:5e:c8:42          -86.22          -83.27          -81.64          -82.68
   00:24:6c:5e:c8:41               -           -83.6          -84.47           -81.8
   00:24:6c:5e:c8:40               -          -87.23               -          -79.29
   00:24:6c:60:cc:d2           -76.4          -77.21           -79.2          -75.53
   00:24:6c:60:cc:d0           -76.2          -77.24          -76.97          -75.77
   00:24:6c:60:cc:d1          -76.41          -77.43          -76.69           -75.4
   00:24:6c:5c:01:22           -70.8          -67.73           -68.4          -66.53
   00:24:6c:d2:9a:31          -59.27          -61.43          -63.43          -63.23
   00:24:6c:5c:01:20          -65.47          -70.57          -67.87          -65.97
   00:24:6c:60:c9:b0               -               -           -90.0               -
   18:64:72:fb:42:72           -89.5          -86.81          -87.33          -87.33
   18:64:72:fb:42:70           -88.8           -90.0          -86.56           -89.0
   18:64:72:fb:42:71          -89.32          -86.68          -88.27           -88.7
   00:24:6c:5c:02:e2          -74.33          -70.07           -68.8          -65.83
   00:24:6c:5c:02:e1          -73.67           -67.8          -70.47           -66.7
   00:24:6c:5c:02:e0          -72.67          -67.83           -68.9          -65.87
   00:24:6c:5e:c8:50           -85.0          -85.76          -86.23           -86.8
   00:24:6c:5e:c8:51           -82.8           -82.5           -84.9          -86.33
   00:24:6c:5e:c8:52          -84.07           -85.1          -84.83          -85.27
   00:24:6c:5e:c8:53           -84.1          -85.13          -85.47          -87.13
   00:0f:66:8a:28:4a          -75.37          -70.97          -74.43           -74.0
   00:24:6c:d2:9a:32           -59.6           -61.9          -63.93          -63.83
   00:24:6c:5c:01:21          -67.03           -66.3          -69.17          -67.93
   00:24:6c:d2:9a:20          -74.07          -69.53          -69.53           -68.8
   00:24:6c:d2:9a:21          -74.83           -71.6          -69.73          -72.13
   00:24:6c:d2:9a:22          -73.83           -72.3           -69.3          -70.47
   00:24:6c:d2:9a:30           -59.5          -62.93          -63.93          -63.47
   00:24:6c:60:ca:13          -89.85          -90.18          -90.33          -90.25
   00:24:6c:60:ca:12          -89.88          -90.61          -90.04           -90.6
   00:24:6c:60:ca:11          -89.86               -               -               -
   00:24:6c:60:ca:10               -               -           -91.0               -
   00:24:6c:d2:98:01          -85.05          -84.11          -88.64          -87.18
   00:24:6c:d2:98:00           -84.1          -84.72          -88.09          -85.57
   00:24:6c:d2:98:02           -85.0          -86.54           -88.0          -87.45
          Total Macs             117             119             117             108
Comparing 101 common mac addresses of 128 unique
                  0 F        1 F        2 F        3 F
0 F               0.0       1.54        3.0       2.45
1 F              1.54        0.0       1.46       0.92
2 F               3.0       1.46        0.0       0.55
3 F              2.45       0.92       0.55        0.0


Average Table:
       0.0       1.54        3.0       2.45
      1.54        0.0       1.46       0.92
       3.0       1.46        0.0       0.55
      2.45       0.92       0.55        0.0
