All 182 accesspoints
                                 0 F             1 F             2 F             3 F         4 Other
   00:24:6c:d2:99:51          -88.37          -89.94          -87.96          -88.84           -88.0
   00:12:17:b0:68:ca          -77.93          -77.27          -82.27           -81.7           -81.0
   00:24:6c:60:c9:b1               -               -          -90.25               -               -
   00:24:6c:5e:c8:52          -84.07           -85.1          -84.83          -85.27          -82.17
   00:24:6c:d2:99:50           -89.0           -89.0          -87.25           -89.0           -90.0
   00:24:6c:d2:99:53          -89.53           -89.6          -89.43          -88.97           -89.0
   00:24:6c:d2:99:52          -88.77           -88.9           -88.6          -88.85           -88.0
   00:24:6c:5c:02:22               -           -89.0          -90.71           -89.0           -89.0
   00:24:6c:5c:02:21               -           -89.0           -87.0               -               -
   00:24:6c:d2:9a:12           -83.2           -84.9          -85.04          -84.36           -86.0
   00:24:6c:60:cc:c2          -86.17           -89.0          -86.86          -86.61           -78.9
   00:24:6c:60:cc:c1          -85.64           -87.5          -87.21          -86.23          -78.13
   00:24:6c:60:cc:c0          -85.36           -86.0          -87.64               -           -78.4
   00:24:6c:5e:c0:32           -90.0               -               -               -               -
   00:24:6c:5e:c0:30           -90.0               -               -               -               -
   00:24:6c:5e:c0:31           -90.0           -93.0               -               -               -
   00:24:6c:5e:c8:51           -82.8           -82.5           -84.9          -86.33           -82.4
   48:f8:b3:40:11:ba          -50.23          -57.13          -55.23          -53.83           -75.1
   00:24:6c:d2:99:72           -72.2          -72.97          -71.93          -71.63           -92.0
   00:24:6c:d2:99:71           -72.3          -72.53          -72.53           -71.6           -90.0
   00:24:6c:d2:99:70          -72.79          -72.83          -72.53           -72.1           -70.0
   00:1a:1e:22:a0:b0               -               -               -               -          -75.47
   00:1a:1e:22:a0:b1               -               -               -               -           -75.2
   00:1a:1e:22:a0:b2               -               -               -               -           -75.1
   00:1a:1e:22:af:c0               -               -               -               -          -85.14
   00:24:6c:d2:9a:32           -59.6           -61.9          -63.93          -63.83           -81.1
   00:24:6c:60:d1:02               -               -               -               -          -90.67
   00:24:6c:60:d1:10               -               -               -               -          -86.03
   00:24:6c:60:d1:01               -               -               -               -          -90.67
   00:24:6c:60:d1:12               -               -               -               -          -86.23
   00:24:6c:5e:c8:42          -86.22          -83.27          -81.64          -82.68          -79.07
   00:24:6c:d2:9a:11          -83.24          -85.16          -85.58          -85.22           -87.0
   00:24:6c:d2:9a:10          -82.86          -83.95          -82.95          -84.27           -86.0
   00:24:6c:60:d1:00               -               -               -               -          -91.25
   00:24:6c:5e:c8:41               -           -83.6          -84.47           -81.8          -78.83
   00:24:6c:5e:c8:40               -          -87.23               -          -79.29          -80.64
   18:64:72:15:10:91          -71.67           -73.1          -73.27          -71.27           -74.9
   18:64:72:15:10:90           -71.4          -73.32          -72.82          -70.97          -74.96
   18:64:72:15:10:92           -71.4           -73.1          -72.83           -70.9           -74.2
   00:24:6c:d2:99:60          -76.17          -76.83          -75.97          -76.03           -74.0
   00:24:6c:d2:99:61          -76.47          -75.57          -75.13          -74.97           -74.0
   00:24:6c:d2:99:62           -76.5          -75.17           -75.5          -74.53           -74.0
   00:24:6c:60:d1:11               -               -               -               -           -85.9
   00:1e:52:7b:b7:02           -83.5           -76.0           -80.0               -               -
   68:7f:74:ca:6d:59          -84.93          -90.04          -89.08           -88.2           -88.0
   00:1a:1e:22:a8:f0               -               -               -               -           -89.0
   00:1a:1e:22:a8:f1               -               -               -               -          -88.68
