All 89 accesspoints
                             2 Pulls        10 Pulls        30 Pulls        60 Pulls       100 Pulls
   00:24:6c:5c:02:f0           -64.0          -63.45          -61.42           -60.1          -60.39
   00:24:6c:5c:02:f1          -66.33          -66.09          -63.39          -61.75          -61.63
   00:24:6c:60:cd:90           -85.0          -85.29          -85.26          -85.26          -85.56
   00:24:6c:60:cd:91           -81.5          -84.56          -84.72          -85.09          -85.19
   00:24:6c:60:cd:92           -83.0           -84.2          -84.67          -84.95          -85.23
   48:f8:b3:40:11:ba           -54.0          -54.18          -57.23           -57.8          -56.67
   00:1a:1e:22:a7:d2           -88.0          -88.22          -88.22          -88.22          -88.22
          Total Macs              55              56              60              62              62
Comparing 55 common mac addresses of 62 unique
              2 Pulls   10 Pulls   30 Pulls   60 Pulls  100 Pulls
2 Pulls           0.0       1.43        0.5        0.9       1.75
10 Pulls         1.43        0.0       1.93       2.33       3.17
30 Pulls          0.5       1.93        0.0        0.4       1.25
60 Pulls          0.9       2.33        0.4        0.0       0.85
100 Pulls        1.75       3.17       1.25       0.85        0.0


Average Table:
       0.0       0.96       0.72       0.67       1.06
      0.96        0.0       0.66       0.92       1.06
      0.72       0.66        0.0       0.26       0.41
      0.67       0.92       0.26        0.0       0.39
      1.06       1.06       0.41       0.39        0.0
